Player,Season,Team,GP,TOI,GA,xG Against,GSAx,GSAx/60,GSAx+
Dan Vladar,23-24,CGY,20,1128.516667,68,52.92,-15.08,-0.801760423,19.16
Dustin Wolf,23-24,CGY,16,890.5,49,37.48,-11.52,-0.77619315,21.63
Arvid Soderblom,23-24,CHI,31,1684.233333,109,89.44,-19.56,-0.696815564,29.30
Antti Raanta,23-24,CAR,24,1265.183333,63,50.99,-12.01,-0.569561724,41.60
Vitek Vanecek,23-24,N.J,32,1787.35,94,80.46,-13.54,-0.454527653,52.72
Jonas Johansson,23-24,T.B,26,1477.483333,83,72.71,-10.29,-0.417872734,56.26
Eric Comrie,23-24,BUF,10,519.9,32,28.71,-3.29,-0.379688402,59.96
Joonas Korpisalo,23-24,OTT,55,3080.733333,168,149.77,-18.23,-0.355045336,62.34
Marc-Andre Fleury,23-24,MIN,39,2174.516667,108,95.3,-12.7,-0.350422699,62.78
Scott Wedgewood,23-24,DAL,32,1789.133333,85,74.73,-10.27,-0.344412565,63.36
Ilya Samsonov,23-24,TOR,40,2300.966667,120,107.77,-12.23,-0.318909444,65.83
Anton Forsberg,23-24,OTT,30,1569.75,84,76.08,-7.92,-0.302723364,67.39
Spencer Martin,23-24,"CAR, CBJ",19,1072.216667,59,53.85,-5.15,-0.288188022,68.80
Akira Schmid,23-24,N.J,19,914.15,48,43.77,-4.23,-0.277634961,69.82
Filip Gustavsson,23-24,MIN,45,2521.9,129,117.54,-11.46,-0.272651572,70.30
Karel Vejmelka,23-24,ARI,38,2040.133333,114,105.61,-8.39,-0.246748579,72.80
Darcy Kuemper,23-24,WSH,33,1866.533333,103,96.02,-6.98,-0.22437317,74.97
John Gibson,23-24,ANA,46,2556.55,150,142.05,-7.95,-0.18657957,78.62
Lukas Dostal,23-24,ANA,43,2262.816667,128,121.14,-6.86,-0.181897193,79.07
Samuel Ersson,23-24,PHI,51,2809.466667,132,125.28,-6.72,-0.143514783,82.78
Nico Daws,23-24,N.J,21,1144.05,60,57.34,-2.66,-0.139504392,83.17
Andrei Vasilevskiy,23-24,T.B,52,3062.866667,148,141.19,-6.81,-0.133404436,83.76
Casey DeSmith,23-24,VAN,29,1663.483333,80,76.43,-3.57,-0.128765943,84.21
Kaapo Kahkonen,23-24,"N.J, S.J",37,1914.216667,116,112.03,-3.97,-0.124437324,84.63
Jake Oettinger,23-24,DAL,53,3019.583333,139,132.82,-6.18,-0.122798399,84.78
Philipp Grubauer,23-24,SEA,36,1996.6,95,90.95,-4.05,-0.121706902,84.89
Alex Lyon,23-24,DET,44,2498.85,127,122.36,-4.64,-0.111411249,85.89
Alexandar Georgiev,23-24,COL,63,3637.95,182,176.48,-5.52,-0.091040284,87.85
Ville Husso,23-24,DET,19,1012.916667,60,58.52,-1.48,-0.087667626,88.18
Daniil Tarasov,23-24,CBJ,24,1376.466667,73,71.16,-1.84,-0.080205357,88.90
Alex Nedeljkovic,23-24,PIT,37,2002.9,97,94.95,-2.05,-0.061410954,90.72
Elvis Merzlikins,23-24,CBJ,41,2258.666667,130,127.81,-2.19,-0.058175915,91.03
Jake Allen,23-24,"MTL, N.J",34,1986.883333,114,112.83,-1.17,-0.035331717,93.24
Logan Thompson,23-24,VGK,46,2645.466667,119,117.6,-1.4,-0.031752432,93.58
Juuse Saros,23-24,NSH,64,3625.416667,173,171.88,-1.12,-0.0185358,94.86
Petr Mrazek,23-24,CHI,56,3152.666667,160,159.53,-0.47,-0.008944809,95.79
Carter Hart,23-24,PHI,26,1455.183333,67,66.87,-0.13,-0.005360149,96.14
