Player,Season,GSAx+,Z Score
Dan Vladar,23-24,19.16,-2.06
Dustin Wolf,23-24,21.63,-2.00
Arvid Soderblom,23-24,29.30,-1.80
Antti Raanta,23-24,41.60,-1.49
Vitek Vanecek,23-24,52.72,-1.21
Jonas Johansson,23-24,56.26,-1.12
Eric Comrie,23-24,59.96,-1.02
Joonas Korpisalo,23-24,62.34,-0.96
Marc-Andre Fleury,23-24,62.78,-0.95
Scott Wedgewood,23-24,63.36,-0.93
Ilya Samsonov,23-24,65.83,-0.87
Anton Forsberg,23-24,67.39,-0.83
Spencer Martin,23-24,68.80,-0.80
Akira Schmid,23-24,69.82,-0.77
Filip Gustavsson,23-24,70.30,-0.76
Karel Vejmelka,23-24,72.80,-0.69
Darcy Kuemper,23-24,74.97,-0.64
John Gibson,23-24,78.62,-0.55
Lukas Dostal,23-24,79.07,-0.53
Samuel Ersson,23-24,82.78,-0.44
Nico Daws,23-24,83.17,-0.43
Andrei Vasilevskiy,23-24,83.76,-0.41
Casey DeSmith,23-24,84.21,-0.40
Kaapo Kahkonen,23-24,84.63,-0.39
Jake Oettinger,23-24,84.78,-0.39
Philipp Grubauer,23-24,84.89,-0.39
Alex Lyon,23-24,85.89,-0.36
Alexandar Georgiev,23-24,87.85,-0.31
Ville Husso,23-24,88.18,-0.30
Daniil Tarasov,23-24,88.90,-0.28
Alex Nedeljkovic,23-24,90.72,-0.24
Elvis Merzlikins,23-24,91.03,-0.23
Jake Allen,23-24,93.24,-0.17
Logan Thompson,23-24,93.58,-0.16
Juuse Saros,23-24,94.86,-0.13
Petr Mrazek,23-24,95.79,-0.11
Carter Hart,23-24,96.14,-0.10
Ilya Sorokin,23-24,97.43,-0.07
Mackenzie Blackwood,23-24,98.46,-0.04
Pyotr Kochetkov,23-24,101.86,0.05
James Reimer,23-24,103.21,0.08
Tristan Jarry,23-24,108.38,0.21
Calvin Pickard,23-24,109.02,0.23
Stuart Skinner,23-24,110.82,0.28
Kevin Lankinen,23-24,111.11,0.28
Connor Ingram,23-24,113.78,0.35
Sergei Bobrovsky,23-24,114.05,0.36
Jet Greaves,23-24,115.99,0.41
Igor Shesterkin,23-24,116.90,0.43
Adin Hill,23-24,117.63,0.45
Devon Levi,23-24,118.55,0.47
Charlie Lindgren,23-24,119.91,0.51
Ukko-Pekka Luukkonen,23-24,120.27,0.52
Cam Talbot,23-24,121.33,0.54
Joey Daccord,23-24,121.73,0.55
Joseph Woll,23-24,122.15,0.57
Sam Montembeault,23-24,123.31,0.59
Cayden Primeau,23-24,124.89,0.63
Martin Jones,23-24,126.37,0.67
Jordan Binnington,23-24,129.34,0.75
Jacob Markstrom,23-24,130.47,0.78
Linus Ullmark,23-24,131.95,0.82
Jonathan Quick,23-24,133.55,0.86
Joel Hofer,23-24,133.97,0.87
Semyon Varlamov,23-24,137.31,0.95
Jeremy Swayman,23-24,137.63,0.96
Thatcher Demko,23-24,138.03,0.97
Connor Hellebuyck,23-24,148.61,1.24
David Rittich,23-24,158.15,1.48
Laurent Brossoit,23-24,164.15,1.64
Justus Annunen,23-24,168.18,1.74
