Name,Season,GP,W,L,OL,Points,Points%,GF,GA,,,
Ducks,23-24,82,27,50,5,59,36,204,295,,,
Coyotes,23-24,82,36,41,5,77,47,256,274,,,
Bruins,23-24,82,47,20,15,109,66.5,267,224,,,
Sabres,23-24,82,39,37,6,84,51.2,246,244,,,
Hurricanes,23-24,82,52,23,7,111,67.7,279,216,,,
Blue Jackets,23-24,82,27,43,12,66,40.2,237,300,,,
Flames,23-24,82,38,39,5,81,49.4,253,271,,,
Blackhawks,23-24,82,23,53,6,52,31.7,179,290,,,
Avalanche,23-24,82,50,25,7,107,65.2,304,254,,,
Stars,23-24,82,52,21,9,113,68.9,298,234,,,
Red Wings,23-24,82,41,32,9,91,55.5,278,274,,,
Oilers,23-24,82,49,27,6,104,63.4,294,237,,,
Panthers,23-24,82,52,24,6,110,67.1,268,200,,,
Kings,23-24,82,44,27,11,99,60.4,256,215,,,
Wild,23-24,82,39,34,9,87,53,251,263,,,
Canadiens,23-24,82,30,36,16,76,46.3,236,289,,,
Devils,23-24,82,38,39,5,81,49.4,264,283,,,
Predators,23-24,82,47,30,5,99,60.4,269,248,,,
Islanders,23-24,82,39,27,16,94,57.3,246,263,,,
Rangers,23-24,82,55,23,4,114,69.5,282,229,,,
Senators,23-24,82,37,41,4,78,47.6,255,281,,,
Flyers,23-24,82,38,33,11,87,53,235,261,,,
Penguins,23-24,82,38,32,12,88,53.7,255,251,,,
Sharks,23-24,82,19,54,9,47,28.7,181,331,,,
Kraken,23-24,82,34,35,13,81,49.4,217,236,,,
Blues,23-24,82,43,33,6,92,56.1,239,250,,,
Lightning,23-24,82,45,29,8,98,59.8,291,268,,,
Maple Leafs,23-24,82,46,26,10,102,62.2,303,263,,,
Canucks,23-24,82,50,23,9,109,66.5,279,223,,,
Golden Knights,23-24,82,45,29,8,98,59.8,267,245,,,
Jets,23-24,82,52,24,6,110,67.1,259,199,,,
Capitals,23-24,82,40,31,11,91,55.5,220,257,,,
Ducks,22-23,82,23,47,12,58,35.4,209,338,,,
Coyotes,22-23,82,28,40,14,70,42.7,228,299,,,
Bruins,22-23,82,65,12,5,135,82.3,305,177,,,
Sabres,22-23,82,42,33,7,91,55.5,296,300,,,
Hurricanes,22-23,82,52,21,9,113,68.9,266,213,,,
Blue Jackets,22-23,82,25,48,9,59,36,214,330,,,
Flames,22-23,82,38,27,17,93,56.7,260,252,,,
Blackhawks,22-23,82,26,49,7,59,36,204,301,,,
Avalanche,22-23,82,51,24,7,109,66.5,280,226,,,
Stars,22-23,82,47,21,14,108,65.9,285,218,,,
Red Wings,22-23,82,35,37,10,80,48.8,240,279,,,
Oilers,22-23,82,50,23,9,109,66.5,325,260,,,
